Next Week,Weekday,Item Name,Forecast,Forecast Lower,Forecast Upper
2025-03-23,Sunday,Nduja & potato toastie,1.0,1.0,2.0
2025-03-24,Monday,Nduja & potato toastie,2.0,2.0,3.0
2025-03-25,Tuesday,Nduja & potato toastie,3.0,2.0,3.0
2025-03-26,Wednesday,Nduja & potato toastie,3.0,3.0,4.0
2025-03-27,Thursday,Nduja & potato toastie,3.0,3.0,4.0
2025-03-21,Friday,Orange Juice,1.0,1.0,2.0
2025-03-22,Saturday,Orange Juice,2.0,1.0,2.0
2025-03-23,Sunday,Orange Juice,1.0,1.0,2.0
2025-03-24,Monday,Orange Juice,1.0,1.0,2.0
2025-03-25,Tuesday,Orange Juice,1.0,1.0,2.0
2025-03-26,Wednesday,Orange Juice,1.0,1.0,2.0
2025-03-27,Thursday,Orange Juice,1.0,0.0,2.0
2025-03-21,Friday,Pain Au Chocolat,4.0,2.0,5.0
2025-03-22,Saturday,Pain Au Chocolat,3.0,2.0,5.0
2025-03-23,Sunday,Pain Au Chocolat,2.0,1.0,4.0
2025-03-24,Monday,Pain Au Chocolat,3.0,2.0,5.0
2025-03-25,Tuesday,Pain Au Chocolat,3.0,1.0,4.0
2025-03-26,Wednesday,Pain Au Chocolat,3.0,1.0,5.0
2025-03-27,Thursday,Pain Au Chocolat,3.0,2.0,5.0
2025-03-21,Friday,Pain Perdu,3.0,2.0,4.0
2025-03-22,Saturday,Pain Perdu,2.0,1.0,3.0
2025-03-23,Sunday,Pain Perdu,2.0,0.0,3.0
2025-03-24,Monday,Pain Perdu,3.0,1.0,4.0
2025-03-25,Tuesday,Pain Perdu,2.0,1.0,4.0
2025-03-26,Wednesday,Pain Perdu,2.0,1.0,3.0
2025-03-27,Thursday,Pain Perdu,2.0,1.0,3.0
2025-03-21,Friday,Peach Iced Tea,2.0,1.0,3.0
2025-03-22,Saturday,Peach Iced Tea,2.0,1.0,2.0
2025-03-23,Sunday,Peach Iced Tea,1.0,1.0,2.0
2025-03-24,Monday,Peach Iced Tea,1.0,0.0,2.0
2025-03-25,Tuesday,Peach Iced Tea,-0.0,-1.0,1.0
2025-03-26,Wednesday,Peach Iced Tea,2.0,1.0,2.0
2025-03-27,Thursday,Peach Iced Tea,1.0,0.0,2.0
2025-03-21,Friday,Pulled pork Bun,2.0,1.0,3.0
2025-03-22,Saturday,Pulled pork Bun,2.0,1.0,3.0
2025-03-23,Sunday,Pulled pork Bun,2.0,1.0,3.0
2025-03-24,Monday,Pulled pork Bun,3.0,2.0,4.0
2025-03-25,Tuesday,Pulled pork Bun,2.0,1.0,3.0
2025-03-26,Wednesday,Pulled pork Bun,3.0,2.0,4.0
2025-03-27,Thursday,Pulled pork Bun,3.0,2.0,4.0
2025-03-21,Friday,Red fruit tea,1.0,0.0,1.0
2025-03-22,Saturday,Red fruit tea,1.0,1.0,1.0
2025-03-23,Sunday,Red fruit tea,1.0,1.0,1.0
2025-03-24,Monday,Red fruit tea,1.0,1.0,1.0
2025-03-25,Tuesday,Red fruit tea,1.0,0.0,1.0
2025-03-26,Wednesday,Red fruit tea,1.0,1.0,1.0
2025-03-27,Thursday,Red fruit tea,1.0,1.0,2.0
2025-03-21,Friday,Reuben Focaccia,2.0,1.0,3.0
2025-03-22,Saturday,Reuben Focaccia,2.0,1.0,3.0
2025-03-23,Sunday,Reuben Focaccia,2.0,1.0,3.0
2025-03-24,Monday,Reuben Focaccia,2.0,2.0,4.0
2025-03-25,Tuesday,Reuben Focaccia,3.0,2.0,4.0
2025-03-26,Wednesday,Reuben Focaccia,3.0,2.0,4.0
2025-03-27,Thursday,Reuben Focaccia,2.0,2.0,3.0
2025-03-21,Friday,Rhubarb,2.0,1.0,2.0
2025-03-22,Saturday,Rhubarb,2.0,1.0,2.0
2025-03-23,Sunday,Rhubarb,1.0,1.0,1.0
2025-03-24,Monday,Rhubarb,1.0,1.0,2.0
2025-03-25,Tuesday,Rhubarb,1.0,1.0,2.0
2025-03-26,Wednesday,Rhubarb,1.0,1.0,2.0
2025-03-27,Thursday,Rhubarb,1.0,1.0,2.0
2025-03-21,Friday,Salad Plate,4.0,2.0,6.0
2025-03-22,Saturday,Salad Plate,2.0,-0.0,4.0
2025-03-23,Sunday,Salad Plate,2.0,-0.0,3.0
2025-03-24,Monday,Salad Plate,4.0,2.0,6.0
2025-03-25,Tuesday,Salad Plate,3.0,1.0,5.0
2025-03-26,Wednesday,Salad Plate,2.0,0.0,4.0
2025-03-27,Thursday,Salad Plate,2.0,0.0,4.0
2025-03-21,Friday,San Pellegrino Aranciata,1.0,1.0,2.0
2025-03-22,Saturday,San Pellegrino Aranciata,1.0,0.0,1.0
2025-03-23,Sunday,San Pellegrino Aranciata,-1.0,-1.0,-0.0
2025-03-24,Monday,San Pellegrino Aranciata,1.0,1.0,2.0
2025-03-25,Tuesday,San Pellegrino Aranciata,1.0,1.0,1.0
2025-03-26,Wednesday,San Pellegrino Aranciata,1.0,1.0,2.0
2025-03-27,Thursday,San Pellegrino Aranciata,1.0,1.0,1.0
2025-03-21,Friday,San Pellegrino Limonata,2.0,1.0,3.0
2025-03-22,Saturday,San Pellegrino Limonata,2.0,1.0,3.0
2025-03-23,Sunday,San Pellegrino Limonata,2.0,1.0,3.0
2025-03-24,Monday,San Pellegrino Limonata,2.0,1.0,3.0
2025-03-25,Tuesday,San Pellegrino Limonata,2.0,1.0,2.0
2025-03-26,Wednesday,San Pellegrino Limonata,1.0,0.0,2.0
2025-03-27,Thursday,San Pellegrino Limonata,2.0,1.0,3.0
2025-03-21,Friday,Sausage roll Pork,3.0,2.0,4.0
2025-03-22,Saturday,Sausage roll Pork,3.0,1.0,4.0
2025-03-23,Sunday,Sausage roll Pork,2.0,1.0,3.0
2025-03-24,Monday,Sausage roll Pork,3.0,1.0,4.0
2025-03-25,Tuesday,Sausage roll Pork,3.0,2.0,4.0
2025-03-26,Wednesday,Sausage roll Pork,3.0,2.0,4.0
2025-03-27,Thursday,Sausage roll Pork,2.0,1.0,4.0
2025-03-21,Friday,Serrano Ham & Pesto Focaccia,3.0,1.0,4.0
2025-03-22,Saturday,Serrano Ham & Pesto Focaccia,2.0,1.0,4.0
2025-03-23,Sunday,Serrano Ham & Pesto Focaccia,3.0,1.0,4.0
2025-03-24,Monday,Serrano Ham & Pesto Focaccia,3.0,2.0,4.0
2025-03-25,Tuesday,Serrano Ham & Pesto Focaccia,3.0,2.0,4.0
2025-03-26,Wednesday,Serrano Ham & Pesto Focaccia,3.0,2.0,5.0
2025-03-27,Thursday,Serrano Ham & Pesto Focaccia,2.0,1.0,4.0
